name,mana_cost,card_type,power,card_text,artist,collection,lowPrice,highPrice,front_image,back_image
Alabaster Mage,{1}{W},Creature — Human Wizard,2/1,{1}{W}: Target creature you control gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.),Izzy,Jumpstart,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/b/7/b7026ffb-98de-4da7-84a8-1198639873f4.png?1600716581,-
Angel of Mercy,{4}{W},Creature — Angel,3/3,"Flying When Angel of Mercy enters the battlefield, you gain 3 life.",Volkan Baǵa,Jumpstart,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/2/d/2d22fdde-5590-4a4c-af2e-09711f4b5ffd.png?1600695833,-
Angel of the Dire Hour,{5}{W}{W},Creature — Angel,5/4,"Flash Flying When Angel of the Dire Hour enters the battlefield, if you cast it from your hand, exile all attacking creatures.",Jack Wang,Jumpstart,0.69,0.69,https://c1.scryfall.com/file/scryfall-cards/png/front/b/7/b7ab81d4-aaf7-4c72-9651-5e1482126928.png?1600695858,-
Angelic Arbiter,{5}{W}{W},Creature — Angel,5/6,Flying Each opponent who cast a spell this turn can't attack with creatures. Each opponent who attacked with a creature this turn can't cast spells.,Steve Argyle,Jumpstart,1.07,1.07,https://c1.scryfall.com/file/scryfall-cards/png/front/8/6/8637d263-5d7e-45bc-aad3-d97f57e6898e.png?1600715393,-
Angelic Edict,{4}{W},Sorcery,-,Exile target creature or enchantment.,Trevor Claxton,Jumpstart,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/f/1/f14ed7f7-83c4-425b-a2b7-5bd76558ce76.png?1600695922,-
Angelic Page,{1}{W},Creature — Angel Spirit,1/1,Flying {T}: Target attacking or blocking creature gets +1/+1 until end of turn.,Chris Rahn,Jumpstart,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/d/d/ddf5db14-f2aa-4088-9894-7bd3a56dfe1e.png?1600715409,-
Archon of Justice,{3}{W}{W},Creature — Archon,4/4,"Flying When Archon of Justice dies, exile target permanent.",Jason Chan,Jumpstart,0.2,0.2,https://c1.scryfall.com/file/scryfall-cards/png/front/0/4/042b0148-5821-4105-9cda-a0e405eb8bee.png?1600716696,-
Archon of Redemption,{3}{W}{W},Creature — Archon,3/4,"Flying Whenever Archon of Redemption or another creature with flying enters the battlefield under your control, you may gain life equal to that creature's power.",Steven Belledin,Jumpstart,0.15,0.15,https://c1.scryfall.com/file/scryfall-cards/png/front/a/9/a9e8eb41-3800-4553-843b-ec27a44e8d55.png?1600716710,-
Battlefield Promotion,{1}{W},Instant,-,Put a +1/+1 counter on target creature. That creature gains first strike until end of turn. You gain 2 life.,Scott Murphy,Jumpstart,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/c/7/c7bac081-a946-4278-90f0-c0f262b7abf2.png?1600716730,-
Blessed Spirits,{2}{W},Creature — Spirit,2/2,"Flying Whenever you cast an enchantment spell, put a +1/+1 counter on Blessed Spirits.",Anna Steinbauer,Jumpstart,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/2/f/2f060a74-dd75-4625-8842-27cb13a279e6.png?1600716749,-
Bulwark Giant,{5}{W},Creature — Giant Soldier,3/6,"When Bulwark Giant enters the battlefield, you gain 5 life.",Victor Adame Minguez,Jumpstart,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/5/1/5104d4fe-4c20-4106-b405-a2b35140c942.png?1616952434,-
Cathar's Companion,{2}{W},Creature — Dog,3/1,"Whenever you cast a noncreature spell, Cathar's Companion gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Svetlin Velinov,Jumpstart,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/0/2/0291a964-1117-4fbd-9193-9719b273c348.png?1600696143,-
Cathars' Crusade,{3}{W}{W},Enchantment,-,"Whenever a creature enters the battlefield under your control, put a +1/+1 counter on each creature you control.",Karl Kopinski,Jumpstart,5.51,5.51,https://c1.scryfall.com/file/scryfall-cards/png/front/f/b/fbb70e7b-2a68-436e-96a4-32a88fb87da0.png?1600715516,-
Celestial Mantle,{3}{W}{W}{W},Enchantment — Aura,-,"Enchant creature Enchanted creature gets +3/+3. Whenever enchanted creature deals combat damage to a player, double its controller's life total.",Steve Argyle,Jumpstart,1.59,1.59,https://c1.scryfall.com/file/scryfall-cards/png/front/1/3/136dfcf5-130a-4d75-9785-a090215a29b1.png?1600696200,-
Cloudshift,{W},Instant,-,"Exile target creature you control, then return that card to the battlefield under your control.",Howard Lyon,Jumpstart,0.28,0.28,https://c1.scryfall.com/file/scryfall-cards/png/front/8/b/8bc7fdf0-3e1e-487c-833d-7c74aa02c0c1.png?1600716960,-
Cradle of Vitality,{3}{W},Enchantment,-,"Whenever you gain life, you may pay {1}{W}. If you do, put a +1/+1 counter on target creature for each 1 life you gained.",Trevor Hairsine,Jumpstart,0.54,0.54,https://c1.scryfall.com/file/scryfall-cards/png/front/4/c/4caae1f4-dfb0-466f-9fa6-eb014767e3c8.png?1600716975,-
Dauntless Onslaught,{2}{W},Instant,-,Up to two target creatures each get +2/+2 until end of turn.,Peter Mohrbacher,Jumpstart,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/a/a/aae001aa-10a0-482a-86fe-bf6ca7fc0866.png?1600696291,-
Divine Arrow,{1}{W},Instant,-,Divine Arrow deals 4 damage to target attacking or blocking creature.,Kieran Yanner,Jumpstart,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/3/5/352c4997-2b96-45da-a4e1-70a86453c6fa.png?1600696320,-
Duelist's Heritage,{2}{W},Enchantment,-,"Whenever one or more creatures attack, you may have target attacking creature gain double strike until end of turn.",Lake Hurwitz,Jumpstart,0.28,0.28,https://c1.scryfall.com/file/scryfall-cards/png/front/f/e/fefef556-dd3c-49b9-a6f5-8b86af64416e.png?1600696343,-
Emancipation Angel,{1}{W}{W},Creature — Angel,3/3,"Flying When Emancipation Angel enters the battlefield, return a permanent you control to its owner's hand.",Scott Chou,Jumpstart,0.14,0.14,https://c1.scryfall.com/file/scryfall-cards/png/front/9/b/9b2a972a-a953-485d-920d-8f4f978ef758.png?1600696371,-
Face of Divinity,{2}{W},Enchantment — Aura,-,"Enchant creature Enchanted creature gets +2/+2. As long as another Aura is attached to enchanted creature, it has first strike and lifelink.",Martina Pilcerova,Jumpstart,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/2/0/207b7c60-ecf0-4661-8022-1e1714237e9f.png?1600696396,-
Forced Worship,{1}{W},Enchantment — Aura,-,Enchant creature Enchanted creature can't attack. {2}{W}: Return Forced Worship to its owner's hand.,Karl Kopinski,Jumpstart,0.01,0.01,https://c1.scryfall.com/file/scryfall-cards/png/front/a/a/aa4004b7-89b6-43f5-8d6e-13db1b08f3b8.png?1600716947,-
Fortify,{2}{W},Instant,-,Choose one —,Creatures you control get +0/+2 until end of turn.,Jumpstart,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/b/9/b9d4b138-5edc-4c12-b526-5c258bc1555c.png?1600696448,-
Gird for Battle,{W},Sorcery,-,Put a +1/+1 counter on each of up to two target creatures.,Jakub Kasper,Jumpstart,0.11,0.11,https://c1.scryfall.com/file/scryfall-cards/png/front/7/7/77238879-6dc7-46ff-8354-89e60c2a04e9.png?1600696470,-
Healer's Hawk,{W},Creature — Bird,1/1,"Flying, lifelink",Milivoj Ćeran,Jumpstart,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/d/d/dd39dd28-1dc2-46a5-a3cf-9b5d267e16d6.png?1600696494,-
High Sentinels of Arashin,{3}{W},Creature — Bird Soldier,3/4,Flying High Sentinels of Arashin gets +1/+1 for each other creature you control with a +1/+1 counter on it. {3}{W}: Put a +1/+1 counter on target creature.,James Ryman,Jumpstart,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/2/0/2002d263-3fe0-481a-b389-84e281b009d7.png?1600696520,-
Indomitable Will,{1}{W},Enchantment — Aura,-,Flash Enchant creature Enchanted creature gets +1/+2.,Micah Epstein,Jumpstart,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/f/5/f5ba5d4b-5dbb-43d6-8f44-a2f80944df98.png?1600717044,-
Inspired Charge,{2}{W}{W},Instant,-,Creatures you control get +2/+1 until end of turn.,Wayne Reynolds,Jumpstart,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/e/9/e9822b57-8e42-4158-981d-f0b0b0646fc9.png?1600717056,-
Inspiring Captain,{3}{W},Creature — Human Knight,3/3,"When Inspiring Captain enters the battlefield, creatures you control get +1/+1 until end of turn.",Ben Maier,Jumpstart,0.12,0.12,https://c1.scryfall.com/file/scryfall-cards/png/front/e/a/eac9c0ee-97a1-4c31-8a42-30408ef3a49c.png?1600717067,-
Inspiring Unicorn,{2}{W}{W},Creature — Unicorn,2/2,"Whenever Inspiring Unicorn attacks, creatures you control get +1/+1 until end of turn.",Even Amundsen,Jumpstart,0.12,0.12,https://c1.scryfall.com/file/scryfall-cards/png/front/3/3/3320865c-ef02-4f18-82b0-47a6d845de0f.png?1617175856,-
"Isamaru, Hound of Konda",{W},Legendary Creature — Dog,2/2,Jumpstart (JMP) #113,"Magic: The Gathering, MTG",Jumpstart,0.84,0.84,https://c1.scryfall.com/file/scryfall-cards/png/front/6/a/6afead32-3542-44c4-82d6-b6a81beb9f90.png?1600713424,-
Knight of the Tusk,{4}{W}{W},Creature — Human Knight,3/7,Vigilance (Attacking doesn't cause this creature to tap.),Jesper Ejsing,Jumpstart,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/2/f/2f81d2a0-5301-4cae-ac83-ad51647146e3.png?1600696727,-
Knightly Valor,{4}{W},Enchantment — Aura,-,"Enchant creature When Knightly Valor enters the battlefield, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.) Enchanted creature gets +2/+2 and has vigilance.",Matt Stewart,Jumpstart,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/c/6/c6f463b5-188f-4ecc-8cbf-0f200515bb09.png?1600696745,-
Kor Spiritdancer,{1}{W},Creature — Kor Wizard,0/2,"Kor Spiritdancer gets +2/+2 for each Aura attached to it. Whenever you cast an Aura spell, you may draw a card.",Scott Chou,Jumpstart,2.23,2.23,https://c1.scryfall.com/file/scryfall-cards/png/front/5/9/59813c47-e779-404d-8a1c-70ea29bc7023.png?1600718299,-
"Lena, Selfless Champion",{4}{W}{W},Legendary Creature — Human Knight,3/3,"When Lena, Selfless Champion enters the battlefield, create a 1/1 white Soldier creature token for each nontoken creature you control. Sacrifice Lena: Creatures you control with power less than Lena's power gain indestructible until end of turn.",Lucas Graciano,Jumpstart,0.23,0.23,https://c1.scryfall.com/file/scryfall-cards/png/front/d/a/da1fb1a6-7f64-45a6-9fc0-a325b7600afa.png?1600696804,-
Lightwalker,{1}{W},Creature — Human Warrior,2/1,Lightwalker has flying as long as it has a +1/+1 counter on it.,Winona Nelson,Jumpstart,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/6/4/64cfd373-148d-4073-8867-3d9ccae20fd1.png?1600717839,-
"Linvala, Keeper of Silence",{2}{W}{W},Legendary Creature — Angel,3/4,Flying Activated abilities of creatures your opponents control can't be activated.,Igor Kieryluk,Jumpstart,13.34,13.34,https://c1.scryfall.com/file/scryfall-cards/png/front/d/d/dded98c3-17cb-4a43-a209-289ceb11df39.png?1600717849,-
Long Road Home,{1}{W},Instant,-,"Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.",Sidharth Chaturvedi,Jumpstart,0.17,0.17,https://c1.scryfall.com/file/scryfall-cards/png/front/5/0/504698a9-1512-4288-b5ef-392d41ebcd05.png?1600696905,-
Mentor of the Meek,{2}{W},Creature — Human Soldier,2/2,"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay {1}. If you do, draw a card.",Jana Schirmer & Johannes Voss,Jumpstart,1.02,1.02,https://c1.scryfall.com/file/scryfall-cards/png/front/4/6/46150e35-bcaf-4b53-871d-d1d9091a36ab.png?1600717859,-
Mesa Unicorn,{1}{W},Creature — Unicorn,2/2,Lifelink,Winona Nelson,Jumpstart,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/e/3/e321bbb0-1660-4452-a9b7-d41674f7f743.png?1600696966,-
"Mikaeus, the Lunarch",{X}{W},Legendary Creature — Human Cleric,0/0,"Mikaeus, the Lunarch enters the battlefield with X +1/+1 counters on it. {T}: Put a +1/+1 counter on Mikaeus. {T}, Remove a +1/+1 counter from Mikaeus: Put a +1/+1 counter on each other creature you control.",Steven Belledin,Jumpstart,3.09,3.09,https://c1.scryfall.com/file/scryfall-cards/png/front/1/b/1b24d60d-bd80-4363-829c-a9d7f8c61fdf.png?1600717902,-
Moment of Heroism,{1}{W},Instant,-,Target creature gets +2/+2 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.),Christopher Moeller,Jumpstart,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/b/1/b17da4d0-f9fd-43af-85fc-ede9fa3962bf.png?1600697027,-
Pacifism,{1}{W},Enchantment — Aura,-,Enchant creature Enchanted creature can't attack or block.,Jesper Ejsing,Jumpstart,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/0/d/0da7c6dc-9325-4866-8c09-78c7021f8f17.png?1600713540,-
Path of Bravery,{2}{W},Enchantment,-,"As long as your life total is greater than or equal to your starting life total, creatures you control get +1/+1. Whenever one or more creatures you control attack, you gain life equal to the number of attacking creatures.",Chris Rahn,Jumpstart,0.21,0.21,https://c1.scryfall.com/file/scryfall-cards/png/front/6/d/6d389a05-2e1a-471d-a865-1c3b68a03e01.png?1600697093,-
Path to Exile,{W},Instant,-,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.",Todd Lockwood,Jumpstart,4.37,4.37,https://c1.scryfall.com/file/scryfall-cards/png/front/5/9/59d40386-6ea6-4b77-8c61-2a9a16a88a01.png?1600697119,-
Patron of the Valiant,{3}{W}{W},Creature — Angel,4/4,"Flying When Patron of the Valiant enters the battlefield, put a +1/+1 counter on each creature you control with a +1/+1 counter on it.",Steve Argyle,Jumpstart,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/1/2/12f43272-6681-41dd-8bfd-d18cc68171c1.png?1600718389,-
Raise the Alarm,{1}{W},Instant,-,Create two 1/1 white Soldier creature tokens.,Zoltan Boros,Jumpstart,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/f/5/f552f9b6-0a60-44d8-985e-249617e04866.png?1600697206,-
Rhox Faithmender,{3}{W},Creature — Rhino Monk,1/5,"Lifelink (Damage dealt by this creature also causes you to gain that much life.) If you would gain life, you gain twice that much life instead.",Wesley Burt,Jumpstart,3.43,3.43,https://c1.scryfall.com/file/scryfall-cards/png/front/6/2/62498e3c-2e9b-4444-a61c-fae3f8906010.png?1600697231,-
Ronom Unicorn,{1}{W},Creature — Unicorn,2/2,Sacrifice Ronom Unicorn: Destroy target enchantment.,Carl Critchlow,Jumpstart,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/c/b/cb993412-69bc-4000-ac8f-b2f62161fc55.png?1600718414,-
Serra Angel,{3}{W}{W},Creature — Angel,4/4,"Flying, vigilance",Donato Giancola,Jumpstart,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/9/0/9067f035-3437-4c5c-bae9-d3c9001a3411.png?1600718440,-
Sky Tether,{W},Enchantment — Aura,-,Enchant creature Enchanted creature has defender and loses flying.,Zezhou Chen,Jumpstart,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/e/c/ec7b4430-95c0-424b-a365-4ae467bb303d.png?1600697338,-
Take Heart,{W},Instant,-,Target creature gets +2/+2 until end of turn. You gain 1 life for each attacking creature you control.,Lucas Graciano,Jumpstart,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/4/5/457eb507-bbbf-4064-bdb0-cfeefe2195df.png?1600697368,-
Tandem Tactics,{1}{W},Instant,-,Up to two target creatures each get +1/+2 until end of turn. You gain 2 life.,David Gaillet,Jumpstart,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/7/a/7acd58e4-7dc7-4ca0-8750-2558ff97b5da.png?1600697393,-
Valorous Stance,{1}{W},Instant,-,Choose one —,Destroy target creature with toughness 4 or greater.,Jumpstart,0.14,0.14,https://c1.scryfall.com/file/scryfall-cards/png/front/2/0/20516400-b37a-46d2-89c8-d6be88f5ab3d.png?1600718470,-
Voice of the Provinces,{4}{W}{W},Creature — Angel,3/3,"Flying When Voice of the Provinces enters the battlefield, create a 1/1 white Human creature token.",Igor Kieryluk,Jumpstart,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/3/0/30a78066-c52e-48fd-bcf9-d0b60f00fddc.png?1600718494,-
Aegis Turtle,{U},Creature — Turtle,0/5,Jumpstart (JMP) #138,"Magic: The Gathering, MTG",Jumpstart,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/7/0/7003ebae-5d82-4360-ae63-0e51c37977ed.png?1600697500,-
Battleground Geist,{4}{U},Creature — Spirit,3/3,Flying Other Spirit creatures you control get +1/+0.,Clint Cearley,Jumpstart,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/5/2/52b2d108-16f2-4d9b-abc8-83ee3d2e8baf.png?1600697525,-
Befuddle,{2}{U},Instant,-,Target creature gets -4/-0 until end of turn. Draw a card.,Svetlin Velinov,Jumpstart,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/9/4/94c1f80e-65b7-4534-bfd4-1ae88274945b.png?1600718515,-
Belltower Sphinx,{4}{U},Creature — Sphinx,2/5,"Flying Whenever a source deals damage to Belltower Sphinx, that source's controller mills that many cards.",Jim Nelson,Jumpstart,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/e/f/ef04340d-284c-4e7b-afd7-444d21a6b382.png?1600724884,-
Chart a Course,{1}{U},Sorcery,-,Draw two cards. Then discard a card unless you attacked this turn.,James Ryman,Jumpstart,0.29,0.29,https://c1.scryfall.com/file/scryfall-cards/png/front/1/a/1a6f256b-943e-4cfb-9fc9-d1ded68b5f97.png?1600713688,-
Cloudreader Sphinx,{4}{U},Creature — Sphinx,3/4,"Flying When Cloudreader Sphinx enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",Kev Walker,Jumpstart,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/1/4/149d4f00-106b-4aa7-a667-6360d2e149e7.png?1600697659,-
Coastal Piracy,{2}{U}{U},Enchantment,-,"Whenever a creature you control deals combat damage to an opponent, you may draw a card.",Matthew D. Wilson,Jumpstart,3.34,3.34,https://c1.scryfall.com/file/scryfall-cards/png/front/0/f/0f2c4e43-71b2-4483-ba54-4be1dcffcd5f.png?1600713707,-
Crookclaw Transmuter,{3}{U},Creature — Bird Wizard,3/1,"Flash Flying When Crookclaw Transmuter enters the battlefield, switch target creature's power and toughness until end of turn.",Ron Spencer,Jumpstart,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/a/c/ac4e2977-b518-4fa3-83e4-5af326ded290.png?1600697716,-
Cryptic Serpent,{5}{U}{U},Creature — Serpent,6/5,This spell costs {1} less to cast for each instant and sorcery card in your graveyard.,Lius Lasahido,Jumpstart,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/6/a/6a636f74-3bac-4b88-a24f-32a66a94e340.png?1600697735,-
